frame,tracklet_id,l,t,w,h,probability_of_detection
1102,4,1597.90,3.69,270.25,541.12,0.86
1103,1,653.35,-60.73,223.06,628.10,0.78
1103,4,1599.39,4.33,267.90,535.12,0.86
1104,1,660.06,-60.94,216.12,618.74,0.79
1104,4,1600.51,5.21,267.66,533.56,0.85
1105,1,666.31,-60.91,210.66,613.46,0.80
1105,4,1600.71,6.74,269.79,538.06,0.85
1106,1,674.88,-64.98,212.90,626.27,0.76
1106,4,1601.69,8.17,270.54,539.79,0.84
1107,1,679.83,-64.64,209.29,623.96,0.76
1107,4,1601.06,10.35,271.01,541.02,0.85
1108,1,686.40,-64.86,205.28,619.06,0.80
1108,4,1599.76,11.25,273.27,546.51,0.85
1109,1,693.44,-62.85,199.66,608.50,0.79
1109,4,1600.03,12.10,272.58,545.59,0.85
1110,1,699.75,-63.59,199.72,613.80,0.80
1110,4,1602.21,13.16,268.14,535.75,0.85
1111,1,711.18,-62.15,200.04,615.93,0.76
1111,4,1602.11,14.98,266.49,532.13,0.86
1112,1,726.63,-56.43,198.92,607.40,0.77
1112,4,1601.45,15.84,267.10,532.83,0.86
1113,1,732.06,-56.01,200.67,612.07,0.71
1113,4,1601.17,16.34,267.39,532.90,0.86
1114,1,736.27,-53.73,200.96,615.31,0.76
1114,4,1600.51,17.49,268.59,535.76,0.85
1115,1,743.25,-53.20,201.39,618.23,0.76
1115,4,1600.32,19.00,268.93,536.86,0.86
1116,1,750.34,-54.79,201.97,621.80,0.74
1116,4,1599.38,20.43,270.78,541.53,0.85
1117,1,759.64,-55.50,203.59,627.94,0.68
1117,4,1598.13,21.59,271.50,543.96,0.85
1118,1,767.07,-53.78,203.92,631.79,0.71
1118,4,1597.79,22.65,271.50,544.87,0.84
1119,1,772.98,-45.90,200.90,626.90,0.76
1119,4,1596.40,23.35,272.25,547.53,0.83
1120,1,783.25,-42.13,198.29,621.08,0.77
1120,4,1597.54,24.46,269.20,541.40,0.84
1121,1,815.60,-42.65,204.24,618.76,0.63
1121,4,1598.88,24.50,266.25,534.90,0.83
1122,1,828.45,-42.55,208.94,617.33,0.49
1122,4,1597.06,25.25,268.03,538.85,0.84
1123,1,833.26,-40.32,212.66,618.15,0.76
1123,4,1597.33,26.62,266.79,536.10,0.85
1124,1,839.29,-37.84,215.54,617.69,0.66
1124,4,1597.57,28.77,266.08,534.96,0.84
1125,1,844.48,-38.51,218.05,619.10,0.70
1125,4,1598.57,28.98,262.22,526.84,0.85
1126,1,845.69,-40.04,221.54,627.11,0.73
1126,4,1598.31,29.35,262.06,526.61,0.86
1127,1,851.13,-41.97,219.35,618.14,0.76
1127,4,1597.96,29.68,262.54,527.24,0.85
1128,1,854.61,-41.96,216.71,610.53,0.68
1128,4,1597.81,30.77,262.79,527.41,0.85
1129,1,857.35,-40.52,214.89,607.81,0.72
1129,4,1598.42,31.82,261.56,524.16,0.84
1130,1,864.18,-40.33,213.69,603.59,0.80
1130,4,1597.92,32.51,260.79,521.74,0.84
1131,1,869.27,-37.14,214.81,608.33,0.79
1131,4,1598.22,32.85,259.56,518.08,0.84
1132,1,874.36,-36.53,215.51,612.05,0.82
1132,4,1597.67,33.50,258.65,515.53,0.85
1133,1,880.73,-33.10,214.40,607.80,0.81
1133,4,1594.52,34.84,262.43,524.27,0.85
1134,1,888.03,-33.28,216.18,613.26,0.77
1134,4,1592.33,36.53,264.12,528.35,0.83
1135,1,894.35,-28.60,217.24,618.55,0.76
1135,4,1593.89,37.58,261.80,522.80,0.73
1136,1,903.77,-24.42,214.65,609.44,0.78
1136,4,1595.54,39.73,264.22,526.06,0.67
1137,1,913.94,-22.67,213.35,602.14,0.76
1137,4,1593.17,40.28,265.77,530.19,0.65
1138,1,919.92,-20.73,211.54,596.29,0.80
1138,4,1592.44,40.67,264.27,527.53,0.69
1139,1,926.32,-26.24,210.97,596.52,0.80
1139,4,1593.61,41.56,260.82,520.59,0.81
1140,1,929.08,-25.33,214.01,608.41,0.81
1140,4,1594.99,40.84,259.48,516.07,0.82
1141,1,936.33,-27.24,213.80,612.23,0.80
1141,4,1596.56,41.21,256.89,508.36,0.83
1142,1,945.42,-30.67,209.45,603.46,0.82
1142,4,1596.29,41.77,259.47,512.73,0.84
1143,1,954.45,-34.80,206.82,597.76,0.82
1143,4,1597.77,43.07,257.28,506.58,0.84
1144,1,961.97,-37.80,208.70,608.99,0.81
1144,4,1594.87,43.75,259.78,510.83,0.85
1145,1,971.59,-39.68,205.99,605.31,0.81
1145,4,1595.79,44.20,258.50,506.88,0.84
1146,1,981.15,-42.94,205.09,607.80,0.70
1146,4,1595.18,42.77,263.55,517.76,0.79
1147,1,989.50,-48.26,206.32,617.76,0.81
1147,4,1597.20,44.22,259.16,507.42,0.84
1148,1,1000.40,-49.00,201.40,607.22,0.82
1148,4,1597.68,44.97,256.26,499.63,0.84
1149,1,1008.04,-48.66,202.64,615.77,0.83
1149,4,1597.75,45.79,257.19,500.04,0.82
1150,1,1018.56,-43.72,198.84,606.41,0.84
1150,4,1594.36,46.41,262.58,511.33,0.83
1151,1,1025.43,-49.16,201.73,617.79,0.83
1151,4,1592.73,46.85,265.32,517.14,0.85
1152,1,1033.49,-49.39,202.00,618.92,0.84
1152,4,1592.64,48.21,265.32,517.25,0.85
1153,1,1040.66,-51.88,202.17,619.31,0.81
1153,4,1592.07,48.37,266.40,519.83,0.84
1154,1,1045.71,-56.46,206.76,633.77,0.80
1154,4,1592.33,48.40,264.07,515.46,0.84
1155,1,1052.05,-58.25,209.73,643.47,0.81
1155,4,1592.73,49.62,262.59,512.54,0.85
1156,1,1057.76,-55.57,209.90,642.24,0.79
1156,4,1592.91,50.17,262.00,511.33,0.85
1157,1,1064.42,-50.71,209.29,639.20,0.78
1157,4,1593.13,51.46,261.49,510.21,0.85
1158,1,1070.48,-50.49,211.17,645.39,0.80
1158,4,1592.90,52.38,261.93,511.14,0.85
1159,1,1076.04,-46.29,211.06,645.99,0.82
1159,4,1592.35,53.36,263.03,513.07,0.85
1160,1,1081.05,-43.57,211.76,649.45,0.83
1160,4,1592.68,54.37,260.61,507.79,0.83
1161,1,1087.50,-38.55,211.26,648.90,0.84
1161,4,1591.75,54.28,261.81,510.26,0.84
1162,1,1094.03,-39.66,212.17,651.82,0.84
1162,4,1591.70,54.33,263.46,513.99,0.84
1163,1,1101.14,-37.22,212.50,654.84,0.82
1163,4,1591.62,55.66,262.44,511.40,0.85
1164,1,1110.41,-28.99,209.61,646.37,0.83
